Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
24,Blake Bortles\BortBl00,JAX,26,QB,13,12,3-9-0,243,403,60.3,2718,13,3.2,11,2.7,126,80,6.7,6.2,11.2,209.1,79.8,43.4,31,173,7.1,5.86,5.32,0,1
25,Andy Dalton\DaltAn00,CIN,31,QB,11,11,5-6-0,226,365,61.9,2566,21,5.8,11,3,132,49,7.0,6.8,11.4,233.3,89.6,59.4,21,157,5.4,6.24,6.05,3,4
26,Marcus Mariota\MariMa01,TEN,25,QB,14,13,7-6-0,228,331,68.9,2528,11,3.3,8,2.4,121,61,7.6,7.2,11.1,180.6,92.3,53.2,42,243,11.3,6.13,5.75,2,3
27,Joe Flacco\FlacJo00,BAL,33,QB,9,9,4-5-0,232,379,61.2,2465,12,3.2,6,1.6,119,71,6.5,6.4,10.6,273.9,84.2,54.8,16,79,4.1,6.04,5.96,,
28,Ryan Fitzpatrick\FitzRy00,TAM,36,qb,8,7,2-5-0,164,246,66.7,2366,17,6.9,12,4.9,113,75,9.6,8.8,14.4,295.8,100.4,61.0,14,76,5.4,8.81,8.04,,
29,Josh Rosen\RoseJo01,ARI,21,QB,14,13,3-10-0,217,393,55.2,2278,11,2.8,14,3.6,112,75,5.8,4.8,10.5,162.7,66.7,24.1,45,320,10.3,4.47,3.53,1,2
30,Nick Mullens\MullNi00,SFO,23,QB,8,8,3-5-0,176,274,64.2,2277,13,4.7,10,3.6,106,85,8.3,7.6,12.9,284.6,90.8,51.7,17,127,5.8,7.39,6.74,0,1
31,Alex Smith\SmitAl03,WAS,34,QB,10,10,6-4-0,205,328,62.5,2180,10,3,5,1.5,106,52,6.6,6.6,10.6,218.0,85.7,46.9,22,121,6.3,5.88,5.81,,
32,Josh Allen\AlleJo02,BUF,22,QB,12,11,5-6-0,169,320,52.8,2074,10,3.1,12,3.8,89,75,6.5,5.4,12.3,172.8,67.9,49.8,28,213,8,5.35,4.37,2,3
33,Ryan Tannehill\TannRy00,MIA,30,QB,11,11,5-6-0,176,274,64.2,1979,17,6.2,9,3.3,92,75,7.2,7.0,11.2,179.9,92.7,33.2,35,279,11.3,5.50,5.29,3,3
34,Nick Foles\FoleNi00,PHI,29,qb,5,5,4-1-0,141,195,72.3,1413,7,3.6,4,2.1,87,83,7.2,7.0,10.0,282.6,96.0,65.4,9,47,4.4,6.70,6.50,2,2
35,C.J. Beathard\BeatC.00,SFO,25,qb,6,5,0-5-0,102,169,60.4,1252,8,4.7,7,4.1,60,82,7.4,6.5,12.3,208.7,81.8,41.5,18,156,9.6,5.86,5.03,,
36,Brock Osweiler\OsweBr00,MIA,28,qb,7,5,2-3-0,113,178,63.5,1247,6,3.4,4,2.2,58,75,7.0,6.7,11.0,178.1,86.0,34.5,17,130,8.7,5.73,5.42,1,1
37,Lamar Jackson\JackLa00,BAL,21,qb,16,7,6-1-0,99,170,58.2,1201,6,3.5,3,1.8,67,74,7.1,7.0,12.1,75.1,84.5,42.6,16,71,8.6,6.08,5.99,0,1
38,Jeff Driskel\DrisJe00,CIN,25,qb,9,5,1-4-0,105,176,59.7,1003,6,3.4,2,1.1,50,37,5.7,5.9,9.6,111.4,82.2,29.7,16,122,8.3,4.59,4.74,,
39,Jimmy Garoppolo\GaroJi00,SFO,27,,3,3,1-2-0,53,89,59.6,718,5,5.6,3,3.4,35,56,8.1,7.7,13.5,239.3,90.0,27.5,13,97,12.7,6.09,5.75,,
40,Cody Kessler\KessCo00,JAX,25,,5,4,2-2-0,85,131,64.9,709,2,1.5,2,1.5,35,35,5.4,5.0,8.3,141.8,77.4,25.9,22,149,14.4,3.66,3.33,,
41,Blaine Gabbert\GabbBl00,TEN,29,,8,3,2-1-0,61,101,60.4,626,4,4,4,4,32,35,6.2,5.2,10.3,78.3,74.9,27.0,5,37,4.7,5.56,4.61,2,2
42,Josh Johnson\JohnJo05,WAS,32,,4,3,1-2-0,52,91,57.1,590,3,3.3,4,4.4,29,79,6.5,5.2,11.3,147.5,69.4,47.4,9,67,9,5.23,4.03,1,1
43,Josh McCown\McCoJo01,NYJ,39,,4,3,0-3-0,60,110,54.5,539,1,0.9,4,3.6,27,41,4.9,3.4,9.0,134.8,55.8,33.8,7,35,6,4.31,2.94,,
44,Chase Daniel\DaniCh00,CHI,32,,5,2,1-1-0,53,76,69.7,515,3,3.9,2,2.6,23,46,6.8,6.4,9.7,103.0,90.6,27.5,9,40,10.6,5.59,5.24,1,0
45,Tyrod Taylor\TaylTy00,CLE,29,,4,3,1-1-1,42,85,49.4,473,2,2.4,2,2.4,17,47,5.6,5.0,11.3,118.3,64.5,27.0,13,81,13.3,4.00,3.49,1,0
